price,bedroom,sqft,bathroom,amenity_count,cityid,pop_class
1835,1,800.0,1.0,9,1,2
3230,2,1570.0,2.0,9,1,2
2083,1,880.0,1.0,9,1,2
1070,0,275.0,1.0,3,1,2
1215,1,502.0,1.0,5,1,2
2330,1,865.0,1.0,9,1,2
1535,1,753.0,1.0,9,1,2
1595,2,950.0,2.0,6,1,2
1815,1,845.0,1.0,9,1,2
1299,1,702.0,1.0,6,1,2
2310,3,1607.0,2.5,5,1,2
1195,1,627.0,1.0,5,1,2
1575,2,900.0,2.0,6,1,2
1440,2,750.0,1.0,6,1,2
1700,2,1100.0,2.0,6,1,2
4450,2,1900.0,2.0,5,1,2
1345,0,400.0,1.0,5,1,2
2500,3,1374.0,2.0,7,1,2
2650,3,1200.0,2.0,4,1,2
2795,3,2053.0,2.5,7,1,2
2650,3,1716.0,1.0,7,1,2
899,0,288.0,1.0,7,1,2
1215,3,627.0,2.0,6,1,2
2500,3,2068.0,2.5,7,1,2
2300,3,1793.0,2.0,6,1,2
2699,4,2467.0,3.0,7,1,2
1775,4,1236.0,2.0,8,1,2
1695,3,930.0,2.0,6,1,2
2745,2,1265.0,2.0,9,1,2
1120,1,613.0,1.0,6,1,2
1670,2,1089.0,2.0,6,1,2
2370,1,840.0,1.0,9,1,2
1950,4,1636.0,2.0,5,1,2
1695,2,930.0,2.0,6,1,2
1625,1,695.0,1.0,9,1,2
1645,1,623.0,1.0,9,1,2
1315,2,807.0,1.0,8,1,2
1427,1,720.0,1.0,6,1,2
1144,1,351.0,1.0,3,1,2
1452,1,650.0,1.0,6,1,2
1699,1,705.0,1.0,8,1,2
1495,2,1025.0,2.0,7,1,2
1770,2,1000.0,1.0,8,1,2
2475,2,1155.0,2.0,8,1,2
1675,1,635.0,1.0,9,1,2
2189,2,1068.0,2.0,6,1,2
2210,2,938.0,2.0,6,1,2
1815,2,925.0,2.0,6,1,2
1607,1,570.0,1.0,6,1,2
3125,2,1560.0,2.0,9,1,2
1532,1,615.0,1.0,6,1,2
1528,1,627.0,1.0,6,1,2
1565,1,730.0,1.0,9,1,2
1350,0,350.0,1.0,4,3,3
1350,0,550.0,1.0,5,3,3
2195,1,700.0,1.0,7,3,3
2485,1,646.0,1.0,3,3,3
1350,0,500.0,1.0,5,3,3
1949,2,872.0,1.0,3,3,3
1725,0,500.0,1.0,6,3,3
1450,0,400.0,1.0,7,3,3
3590,5,2960.0,3.0,5,3,3
4610,3,1469.0,2.0,6,3,3
1495,0,350.0,1.0,6,3,3
2550,2,843.0,1.5,3,3,3
2595,1,800.0,1.0,4,3,3
1950,0,300.0,1.0,5,3,3
3164,2,1062.0,2.0,3,3,3
2650,2,1000.0,1.5,3,3,3
1825,0,426.0,1.0,5,3,3
3095,3,1200.0,2.0,6,3,3
3880,2,1010.0,2.0,9,3,3
2250,2,1000.0,2.0,7,3,3
2495,2,945.0,2.0,6,3,3
2520,1,774.0,1.0,3,3,3
2300,2,979.0,1.5,6,3,3
1525,0,375.0,1.0,6,3,3
2999,2,900.0,1.5,7,3,3
3590,5,2960.0,3.0,5,3,3
2105,1,687.0,1.0,3,3,3
3292,1,870.0,1.0,5,3,3
2100,1,610.0,1.0,5,3,3
2550,2,843.0,2.0,5,3,3
